"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"5473";"13731037";"51.23323881927100";"4.41298432514410";"98983";"2500";"";"School";"rh";"700";"200";"SCHOOL|";"SB250";"Type II";"1999-01-01";"98983.B1";"153089.06439107";"213702.01017807";""
"5476";"13731038";"51.23325156962000";"4.41275105315370";"98984";"2650";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1995-01-01";"98984.B1";"153072.77025587";"213703.41889347";""
"5479";"13731039";"51.23325156962000";"4.41275105315370";"98984";"2650";"Muurarmatuur";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1993-01-01";"98984.B2";"153072.77025587";"213703.41889347";""
"5482";"13731040";"51.23325452971700";"4.41097371446490";"98985";"2550";"Steun";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1993-01-01";"98985.B1";"152948.62887729";"213703.67497832";""
"5485";"13731041";"51.23325452971700";"4.41097371446490";"98985";"2550";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1995-01-01";"98985.B2";"152948.62887729";"213703.67497832";""
"5488";"13731042";"51.23327766010900";"4.41087509965030";"98986";"2050";"Steun";"D3a";"ro";"700";"0";"";"Vlak";"Type I";"1950-01-01";"98986.B1";"152941.73948383";"213706.24438326";""
"5491";"13731043";"51.23327766010900";"4.41087509965030";"98986";"2050";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98986.B2";"152941.73948383";"213706.24438326";""
"5494";"13731044";"51.23327234498100";"4.40940808633880";"98988";"2700";"Verlichtingspaal";"C21";"ro";"700";"0";"3|";"SB250";"Type II";"1998-01-01";"98988.B1";"152839.27387368";"213705.59497322";""
"5497";"13731045";"51.23327234498100";"4.40940808633880";"98988";"2700";"Verlichtingspaal";"GIV";"rh";"600";"400";"UITGEZONDERD|LADEN EN|LOSSEN|";"SB250";"Type II";"1950-01-01";"98988.B2";"152839.27387368";"213705.59497322";""
"5500";"13731046";"51.23345736690700";"4.40937793191780";"98990";"1100";"Steun";"D9a";"ro";"400";"0";"";"SB250";"Type I";"1950-01-01";"98990.B1";"152837.15623224";"213726.17844795";""
"5503";"13731047";"51.23345351309100";"4.41093589839930";"98991";"3000";"Muurarmatuur";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1994-01-01";"98991.B1";"152945.9747667";"213725.8113901";""
"5506";"13731048";"51.23345351309100";"4.41093589839930";"98991";"3000";"Muurarmatuur";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98991.B2";"152945.9747667";"213725.8113901";""
"5509";"13731049";"51.23341126019000";"4.41264420780550";"98992";"2300";"Steun";"A23";"dh";"700";"0";"";"Vlak";"Type I";"1995-01-01";"98992.B1";"153065.29680266";"213721.18081417";""
"5512";"13731050";"51.23341126019000";"4.41264420780550";"98992";"2300";"Steun";"GIa";"rh";"400";"200";"50m|";"Vlak";"Type I";"1997-01-01";"98992.B2";"153065.29680266";"213721.18081417";""
"5515";"13731051";"51.23344648193100";"4.41278936641370";"98993";"2650";"Steun";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1995-01-01";"98993.B1";"153075.43324632";"213725.10550962";""
"5518";"13731052";"51.23344648193100";"4.41278936641370";"98993";"2650";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98993.B2";"153075.43324632";"213725.10550962";""
"5521";"13731053";"51.23346823828800";"4.41297251140340";"98994";"2850";"Verlichtingspaal";"F19";"rh";"700";"700";"";"Vlak";"Type I";"1992-01-01";"98994.B1";"153088.22380058";"213727.53373847";""
